movieId,title,genres
2870,Suhag Sindoor (1961),Drama
2871,Batwara (1961),Drama|Family            
2872,Passport (1961),Crime|Drama            
2873,Modern Girl (1961),Romance
2874,Saranga (1961),Action|Drama|Romance            
2875,Hum Dono (1961),Drama|Musical|Romance            
2876,Razia Sultana (1961),Romance
2877,Gunga Jumna (1961),Action|Drama|Musical            
2878,Sanjog (1961),Comedy|Drama|Romance            
2879,Sasural (1961),Action|Comedy|Drama            
2886,Hamari Yaad Aayegi (1961),Drama|Family            
2888,Payaase Panchhi (1961),Comedy
2891,Piya Milan Ki Aas (1961),Romance
2894,Kanch Ki Gudiya (1961),Drama|Family            
2897,Bhabhi Ki Chudiyan (1961),Drama|Family            
2898,Kabuliwala (1961),Drama
2899,Sapne Suhane (1961),Romance
2904,Jab Pyar Kisise Hota Hai (1961),Comedy|Drama|Musical            
2907,Aas Ka Panchhi (1961),Family|Drama            
2908,Boy Friend (1961),Drama|Romance            
2909,Bada Aadmi (1961),Action
2913,Chatrapati Shivaji Maharaj (1961),Biography|History            
2916,Pyar Ki Pyas (1961),Drama
2922,Sampoorna Ramayana (1961),Drama|Adventure|Action            
2923,Mem-Didi (1961),Comedy|Drama            
2925,Maya (1961),Drama|Romance            
2927,Krorepati (1961),Comedy|Crime|Drama            
2930,Dharmputra (1961),Drama
2932,Chhaya (1961),Drama|Romance            
2933,Chhote Nawab (1961),Comedy|Drama|Romance            
2934,Gharana (1961),Comedy|Drama|Family            
2936,Ramu Dada (1961),Drama
2937,Jai Chitod (1961),Action|History            
2938,Opera House (1961),Action|Crime|Drama            
2945,Stree (1961),Fantasy
2946,Tel Malish Boot Polish (1961),Action|Comedy|Crime            
2950,Zindagi Aur Khwab (1961),Romance
2952,Amar Rahe Ye Pyar (1961),Drama
2953,Roop Ki Rani Choron Ka Raja (1961),Romance
2955,Apna Banake Dekho (1962),Romance
2957,Tower House (1962),Drama|Horror|Thriller            
2958,Girls' Hostel (1962),Drama
2959,Zabak (1962),Action|Adventure|Comedy            
2961,Dr. Vidya (1962),Drama
2964,Hariyali Aur Rasta (1962),Musical|Drama|Romance            
2968,Pathan (1962),Drama|Family            
2969,Rakhi (1962),Drama|Family            
2970,Professor (1962),Comedy|Drama|Musical            
2971,Baat Ek Raat Ki (1962),Mystery|Romance|Thriller            
2972,Soorat Aur Seerat (1962),Drama|Family            
2974,Shree Ganesh (1962),Adventure|Drama|Fantasy            
2975,Jhoola (1962),Drama|Family            
2979,Prem Patra (1962),Drama|Romance            
2981,Dil Tera Diwana (1962),Comedy|Romance            
2982,Issi Ka Naam Dunia Hai (1962),Drama|Music            
2984,Half Ticket (1962),Musical|Comedy|Romance            
2986,Aashiq (1962),Romance
2987,Bees Saal Baad (1962),Thriller|Musical|Mystery            
2989,Man-Mauji (1962),Comedy|Musical            
2990,Burmah Road (1962),Romance
2995,Main Chup Rahungi (1962),Drama|Family            
2997,Sautela Bhai (1962),Drama|Family            
2998,Ma Beta (1962),Comedy|Crime|Drama            
3001,Umeed (1962),Drama
3002,Gyara Hazar Ladkian (1962),Drama
